factor,threshold,winner_pct,loser_pct,enrichment
DCR,90.0,0.182,0.176,1.038
RMV,40.0,0.316,0.305,1.035
CMP,50.0,0.476,0.463,1.028
CMP,60.0,0.321,0.314,1.02
DCR,60.0,0.62,0.608,1.02
RMV,50.0,0.237,0.233,1.019
DCR,70.0,0.497,0.488,1.018
RS,80.0,0.805,0.793,1.015
TR,60.0,0.746,0.735,1.015
TR,50.0,0.853,0.842,1.014
RS,70.0,0.928,0.92,1.009
RMV,60.0,0.18,0.179,1.009
DCR,80.0,0.349,0.347,1.007
TR,40.0,0.932,0.926,1.006
RS,60.0,0.971,0.97,1.001
CMP,40.0,0.619,0.623,0.994
CMP,70.0,0.184,0.186,0.991
RS,90.0,0.494,0.504,0.981
VQS,40.0,0.79,0.811,0.975
VQS,50.0,0.55,0.568,0.968
VQS,60.0,0.256,0.27,0.947
ORC,0.25,0.555,0.594,0.934
ORC,0.5,0.342,0.37,0.923
ORC,0.75,0.191,0.216,0.883
